Month,Series ID: ELEC.CONS_TOT.PC-WNC-96.M thousand tons
01-01-2001,0.59
01-02-2001,0.55
01-03-2001,0.54
01-04-2001,0.46
01-05-2001,0.52
01-06-2001,0.49
01-07-2001,0.59
01-08-2001,0.44
01-09-2001,0.4
01-10-2001,0.63
01-11-2001,0.51
01-12-2001,0.6
01-01-2002,0.686
01-02-2002,0.728
01-03-2002,0.679
01-04-2002,0.723
01-05-2002,0.662
01-06-2002,0.705
01-07-2002,0.599
01-08-2002,0.648
01-09-2002,0.606
01-10-2002,0.609
01-11-2002,0.689
01-12-2002,0.757
01-01-2003,0.996
01-02-2003,0.834
01-03-2003,0.934
01-04-2003,0.821
01-05-2003,0.811
01-06-2003,0.912
01-07-2003,0.993
01-08-2003,1.031
01-09-2003,0.898
01-10-2003,0.951
01-11-2003,0.803
01-12-2003,0.901
01-01-2004,1.254
01-02-2004,1.066
01-03-2004,1.137
01-04-2004,1.113
01-05-2004,0
01-06-2004,0
01-07-2004,0
01-08-2004,0.011
01-09-2004,0.777
01-10-2004,0.896
01-11-2004,1.393
01-12-2004,1.553
01-01-2005,1.225
01-02-2005,0.972
01-03-2005,1.362
01-04-2005,0.449
01-05-2005,0
01-06-2005,0
01-07-2005,0
01-08-2005,0
01-09-2005,0.874
01-10-2005,1.522
01-11-2005,1.528
01-12-2005,1.29
01-01-2006,0.102
01-02-2006,1.004
01-03-2006,1.291
01-04-2006,0
01-05-2006,0
01-06-2006,0
01-07-2006,0.236
01-08-2006,1.646
01-09-2006,1.344
01-10-2006,1.518
01-11-2006,1.422
01-12-2006,1.198
01-01-2007,1.277
01-02-2007,1.282
01-03-2007,0.992
01-04-2007,1.174
01-05-2007,0
01-06-2007,0
01-07-2007,0
01-08-2007,1.103
01-09-2007,1.756
01-10-2007,1.788
01-11-2007,1.717
01-12-2007,1.163
01-01-2008,1.274
01-02-2008,1.038
01-03-2008,1.382
01-04-2008,1.324
01-05-2008,0
01-06-2008,0
01-07-2008,0
01-08-2008,0
01-09-2008,0.114
01-10-2008,1.712
01-11-2008,1.599
01-12-2008,1.588
01-01-2009,1.253
01-02-2009,1.141
01-03-2009,0.87
01-04-2009,0
01-05-2009,0
01-06-2009,0
01-07-2009,0
01-08-2009,1.432
01-09-2009,1.028
01-10-2009,0
01-11-2009,1.223
01-12-2009,1.752
01-01-2010,1.396
01-02-2010,1.178
01-03-2010,1.451
01-04-2010,0.886
01-05-2010,0
01-06-2010,0
01-07-2010,0
01-08-2010,1.201
01-09-2010,1.124
01-10-2010,1.285
01-11-2010,1.671
01-12-2010,1.903
01-01-2011,1.486
01-02-2011,1.192
01-03-2011,1.45
01-04-2011,0
01-05-2011,0
01-06-2011,0
01-07-2011,0
01-08-2011,0
01-09-2011,0
01-10-2011,0
01-11-2011,0.693
01-12-2011,1.558
01-01-2012,1.637
01-02-2012,1.37
01-03-2012,1.303
01-04-2012,0.089
01-05-2012,0
01-06-2012,0
01-07-2012,1.175
01-08-2012,1.403
01-09-2012,1.376
01-10-2012,1.495
01-11-2012,1.382
01-12-2012,1.439
01-01-2013,1.779
01-02-2013,1.618
01-03-2013,1.549
01-04-2013,0.195
01-05-2013,0
01-06-2013,0
01-07-2013,0.087
01-08-2013,1.508
01-09-2013,1.391
01-10-2013,1.33
01-11-2013,1.115
01-12-2013,1.662
01-01-2014,1.837
01-02-2014,1.582
01-03-2014,1.835
01-04-2014,1.746
01-05-2014,0.818
01-06-2014,0
01-07-2014,0.245
01-08-2014,2.296
01-09-2014,2.067
01-10-2014,1.644
01-11-2014,2.1
01-12-2014,2.193
01-01-2015,2.514
01-02-2015,2.442
01-03-2015,2.122
01-04-2015,1.528
01-05-2015,0.159
01-06-2015,0
01-07-2015,0
01-08-2015,1.784
01-09-2015,2.318
01-10-2015,2.08
01-11-2015,1.762
01-12-2015,1.506
01-01-2016,2.564
01-02-2016,2.157
01-03-2016,1.935
01-04-2016,0.276
01-05-2016,0
01-06-2016,0.108
01-07-2016,1.263
01-08-2016,0
01-09-2016,0
01-10-2016,0
01-11-2016,0.23
01-12-2016,1.858
01-01-2017,2.37
01-02-2017,1.355
01-03-2017,1.978
01-04-2017,0.64
01-05-2017,0.88
01-06-2017,0.64
01-07-2017,0.397
01-08-2017,2.304
01-09-2017,2.174
01-10-2017,1.517
01-11-2017,0.934
01-12-2017,2.142
01-01-2018,2.186
01-02-2018,1.893
01-03-2018,1.764
01-04-2018,0.653
01-05-2018,0
01-06-2018,0
01-07-2018,0
01-08-2018,0
01-09-2018,1.041
01-10-2018,0.998
01-11-2018,1.869
01-12-2018,1.991
01-01-2019,2.109
01-02-2019,1.25
01-03-2019,1.684
01-04-2019,1.472
01-05-2019,0
01-06-2019,0
01-07-2019,0
01-08-2019,0
01-09-2019,0
01-10-2019,0
01-11-2019,0
01-12-2019,0.828
01-01-2020,2.423
01-02-2020,1.485
01-03-2020,0
01-04-2020,0
01-05-2020,0
01-06-2020,0
01-07-2020,0
01-08-2020,0
01-09-2020,0
01-10-2020,0
01-11-2020,0
01-12-2020,0
01-01-2021,0
01-02-2021,1.064
01-03-2021,0.076
01-04-2021,0
01-05-2021,0
01-06-2021,0
01-07-2021,0
01-08-2021,0
01-09-2021,0
01-10-2021,1.37
01-11-2021,2.108
01-12-2021,2.138
01-01-2022,2.081
01-02-2022,2.015
01-03-2022,2.074
01-04-2022,1.798
01-05-2022,2.225
01-06-2022,1.943
01-07-2022,1.38
01-08-2022,0
01-09-2022,0.396
