Month,Series ID: ELEC.CONS_TOT.PEL-AK-96.M thousand barrels
01-01-2001,1.59
01-02-2001,2.89
01-03-2001,2.91
01-04-2001,1.38
01-05-2001,1.37
01-06-2001,1.1
01-07-2001,2.56
01-08-2001,3.7
01-09-2001,3.4
01-10-2001,1.89
01-11-2001,0.99
01-12-2001,0.99
01-01-2002,4.321
01-02-2002,3.643
01-03-2002,3.965
01-04-2002,3.771
01-05-2002,3.971
01-06-2002,2.97
01-07-2002,3.566
01-08-2002,3.724
01-09-2002,4.492
01-10-2002,4.705
01-11-2002,4.296
01-12-2002,4.77
01-01-2003,2.714
01-02-2003,2.404
01-03-2003,2.483
01-04-2003,2.18
01-05-2003,2.14
01-06-2003,2.036
01-07-2003,2.179
01-08-2003,2.086
01-09-2003,2.232
01-10-2003,2.406
01-11-2003,2.524
01-12-2003,2.819
01-01-2004,6.1729
01-02-2004,4.3966
01-03-2004,3.43705
01-04-2004,2.58379
01-05-2004,4.52657
01-06-2004,3.68965
01-07-2004,1.0943
01-08-2004,2.67865
01-09-2004,3.12705
01-10-2004,2.63985
01-11-2004,3.11923
01-12-2004,4.66337
01-01-2005,7.20756
01-02-2005,5.09054
01-03-2005,3.38729
01-04-2005,2.5245
01-05-2005,6.2394
01-06-2005,2.70652
01-07-2005,2.19435
01-08-2005,1.03617
01-09-2005,1.78483
01-10-2005,1.32438
01-11-2005,3.51035
01-12-2005,4.18713
01-01-2006,5.93213
01-02-2006,3.72045
01-03-2006,4.77921
01-04-2006,2.05109
01-05-2006,3.20846
01-06-2006,1.79254
01-07-2006,0.74761
01-08-2006,0.80844
01-09-2006,0.50947
01-10-2006,0.66591
01-11-2006,3.86738
01-12-2006,3.81334
01-01-2007,4.984
01-02-2007,4.335
01-03-2007,4.75
01-04-2007,0.879
01-05-2007,5.337
01-06-2007,4.584
01-07-2007,2.349
01-08-2007,0.671
01-09-2007,0.344
01-10-2007,0.626
01-11-2007,0.877
01-12-2007,3.304
01-01-2008,4.519
01-02-2008,4
01-03-2008,0.567
01-04-2008,1.207
01-05-2008,2.553
01-06-2008,0.145
01-07-2008,0.056
01-08-2008,0.351
01-09-2008,0.058
01-10-2008,0.729
01-11-2008,3.659
01-12-2008,5.907
01-01-2009,6.89
01-02-2009,5.431
01-03-2009,3.837
01-04-2009,1.382
01-05-2009,0.421
01-06-2009,0.385
01-07-2009,2.286
01-08-2009,2.78
01-09-2009,0.317
01-10-2009,0.37
01-11-2009,3.286
01-12-2009,4.561
01-01-2010,4.469
01-02-2010,1.665
01-03-2010,0.187
01-04-2010,1.368
01-05-2010,4.841
01-06-2010,3.694
01-07-2010,1.392
01-08-2010,0.687
01-09-2010,0.114
01-10-2010,0.375
01-11-2010,1.399
01-12-2010,5.707
01-01-2011,3.312
01-02-2011,2.873
01-03-2011,0.888
01-04-2011,0.044
01-05-2011,0.02
01-06-2011,0.017
01-07-2011,0.02
01-08-2011,0.197
01-09-2011,0.256
01-10-2011,0.106
01-11-2011,3.358
01-12-2011,1.203
01-01-2012,7.705
01-02-2012,1.618
01-03-2012,0.698
01-04-2012,0.262
01-05-2012,0.94
01-06-2012,0.301
01-07-2012,0.438
01-08-2012,0.938
01-09-2012,1.155
01-10-2012,0.339
01-11-2012,4.177
01-12-2012,7.624
01-01-2013,1.685
01-02-2013,2.728
01-03-2013,1.452
01-04-2013,0.404
01-05-2013,5.014
01-06-2013,0.133
01-07-2013,0.16
01-08-2013,0.56
01-09-2013,0.069
01-10-2013,0.222
01-11-2013,3.154
01-12-2013,3.911
01-01-2014,1.235
01-02-2014,1.542
01-03-2014,1.376
01-04-2014,1.062
01-05-2014,3.681
01-06-2014,1.628
01-07-2014,0.407
01-08-2014,0.055
01-09-2014,0.022
01-10-2014,0.481
01-11-2014,0.407
01-12-2014,1.348
01-01-2015,6.692
01-02-2015,4.622
01-03-2015,1.133
01-04-2015,1.456
01-05-2015,3.121
01-06-2015,0.273
01-07-2015,0.031
01-08-2015,0.163
01-09-2015,0.015
01-10-2015,0.128
01-11-2015,3.571
01-12-2015,4.421
01-01-2016,2.554
01-02-2016,2.312
01-03-2016,1.963
01-04-2016,1.123
01-05-2016,0.015
01-06-2016,0.278
01-07-2016,0.023
01-08-2016,0.117
01-09-2016,0.088
01-10-2016,0.831
01-11-2016,0.409
01-12-2016,4.659
01-01-2017,5.906
01-02-2017,3.703
01-03-2017,5.209
01-04-2017,0.017
01-05-2017,1.877
01-06-2017,0.022
01-07-2017,0.019
01-08-2017,0.064
01-09-2017,0.026
01-10-2017,0.658
01-11-2017,4.181
01-12-2017,3.53
01-01-2018,6.923
01-02-2018,4.883
01-03-2018,3.251
01-04-2018,0.59
01-05-2018,0.04
01-06-2018,0.03
01-07-2018,0.095
01-08-2018,0.357
01-09-2018,0.428
01-10-2018,1.168
01-11-2018,4.709
01-12-2018,8.753
01-01-2019,5.883
01-02-2019,3.779
01-03-2019,3.19
01-04-2019,6.212
01-05-2019,1.554
01-06-2019,0.729
01-07-2019,0.39
01-08-2019,1.066
01-09-2019,0.652
01-10-2019,3.629
01-11-2019,8.967
01-12-2019,2.404
01-01-2020,6.025
01-02-2020,0.038
01-03-2020,0.041
01-04-2020,0.037
01-05-2020,0.032
01-06-2020,0.04
01-07-2020,4.818
01-08-2020,5.738
01-09-2020,0.051
01-10-2020,0.039
01-11-2020,0.033
01-12-2020,0.032
01-01-2021,0.051
01-02-2021,0.055
01-03-2021,0.057
01-04-2021,0.057
01-05-2021,4.353
01-06-2021,0.041
01-07-2021,0.04
01-08-2021,0.055
01-09-2021,0.61
01-10-2021,0.068
01-11-2021,0.056
01-12-2021,5.342
01-01-2022,15.952
01-02-2022,2.159
01-03-2022,12.696
01-04-2022,10.133
01-05-2022,6.962
01-06-2022,
01-07-2022,
01-08-2022,
01-09-2022,
